,dp1,dp2,dp3,dp4,dp5,dp6,dp7,dp8,dp9,dp10,dp11,dp12,dp13,dp14,dp15,dp16,dp17,dp18,dp19,hp1,hp2,hp3,hp4,hp5,hp6,hp7,hp8,hc1,hc2,hc3,hc4,hc5
dp1,0.0,0.02767500816621152,0.00956601191719925,0.03728789320945662,0.02185074740140236,0.08611406422298126,0.08672606067381902,0.07490134701058276,0.06785812882771952,0.057880783011284485,0.06648979080279896,0.04618508404235863,0.41945361259858094,0.43008263490869353,0.4178667350818978,0.5530463635338367,0.41904178138820475,0.4198221766129075,0.4099501627429837,0.08368939293602254,0.4189177642939045,0.0676201778317647,0.07971282948810196,0.0818867288453983,0.4075039084107047,0.07053050237308486,0.07021788237336211,0.08368939293602254,0.4189177642939045,0.0676201778317647,0.0765823080482681,0.09002387247835918
dp2,0.02767500816621152,0.0,0.018172467774078403,0.010755783235078867,0.009094196446089048,0.07497073095548756,0.06858599050097247,0.05998494031838376,0.0675668631579095,0.05324851705916045,0.0617751779924602,0.04524216048112543,0.4449358628263158,0.4554094398813033,0.44307015914525655,0.5762547995748056,0.4297061774771224,0.4297644093977532,0.4205265565954179,0.06673639505547406,0.4441215510420556,0.06335521781984366,0.06470545777598434,0.06442775159820606,0.4182399884336746,0.06636976861493489,0.06548296205884124,0.06673639505547406,0.4441215510420556,0.06335521781984366,0.06011171750166607,0.07315220147746897
dp3,0.00956601191719925,0.018172467774078403,0.0,0.027742797623885925,0.0125925235755174,0.08219031211158494,0.08051452226771885,0.06960455939088865,0.06735881501332551,0.05563729973677224,0.06442580592433403,0.04482105402597925,0.42784270054542295,0.43840530946830997,0.4261353567588649,0.5614768658404374,0.42336345312390844,0.4239006934648717,0.41423841881819545,0.0778353696593006,0.42718663224052716,0.06573349503867511,0.07444661156156986,0.07585228479749172,0.41184493364614777,0.06873551798742583,0.06822018312053511,0.0778353696593006,0.42718663224052716,0.06573349503867511,0.0708082495900006,0.0842517354123929
dp4,0.03728789320945662,0.010755783235078867,0.027742797623885925,0.0,0.015907715423656762,0.0787761873474478,0.06915850296239483,0.06261784438959975,0.07525001435215635,0.06022533116554659,0.06837117764818884,0.05361582370905017,0.45141106017686117,0.46176229734572527,0.44933657737157634,0.5870090717748744,0.43862912367169676,0.43851876371712994,0.4294340628839305,0.06804014569355635,0.45038776244143314,0.0700344457106639,0.06709756407649822,0.065536958832404,0.42718538681233076,0.07298000524116229,0.07194206475352032,0.06804014569355635,0.45038776244143314,0.0700344457106639,0.06193913472111272,0.07428855860763674
dp5,0.02185074740140236,0.009094196446089048,0.0125925235755174,0.015907715423656762,0.0,0.08273461385055639,0.0774134928420101,0.0683077863936502,0.07270701403578643,0.059237811472065874,0.06795569366138943,0.04999866216210371,0.43641443537077906,0.44684356408031656,0.43447338500994576,0.5739287997129956,0.4326201816339618,0.4329158438149401,0.42346597658489754,0.07541039164465904,0.43552475103144117,0.06945076923980203,0.07307991754921561,0.07315624061555287,0.4211254296619976,0.07248704580130473,0.07172807785658313,0.07541039164465904,0.43552475103144117,0.06945076923980203,0.06867984871853319,0.08184452266340618
dp6,0.08611406422298126,0.07497073095548756,0.08219031211158494,0.0787761873474478,0.08273461385055639,0.0,0.023743581722225807,0.01747423145663383,0.032346888830305516,0.030300564499695645,0.02411964916825978,0.04241537675183525,0.4933351880304088,0.5044919238729236,0.49278833020375423,0.5578056741133063,0.37418035464465527,0.37276394182511735,0.3649269172341215,0.019687765363291008,0.49383219076929585,0.024229236574851726,0.014710646008929585,0.021761664366495608,0.36300252947465805,0.023033063756261896,0.02202618668767033,0.019687765363291008,0.49383219076929585,0.024229236574851726,0.020566489758829538,0.019459167531013462
dp7,0.08672606067381902,0.06858599050097247,0.08051452226771885,0.06915850296239483,0.0774134928420101,0.023743581722225807,0.0,0.01470226241093206,0.050914935333356864,0.041860088509222335,0.04017500049781872,0.051336499335265726,0.5026396326136596,0.5135674981947355,0.5016109753504205,0.5808696448137045,0.3966426056250152,0.39497852430733615,0.3873911858122236,0.004881722032231128,0.5026593742973448,0.041182482319549234,0.011886824344626021,0.005142017600121221,0.38552662570826585,0.04150360433745336,0.04004676322750583,0.004881722032231128,0.5026593742973448,0.041182482319549234,0.010950971555067397,0.006138342447276434
dp8,0.07490134701058276,0.05998494031838376,0.06960455939088865,0.06261784438959975,0.0683077863936502,0.01747423145663383,0.01470226241093206,0.0,0.037204066981985494,0.027169822413849506,0.02614851133429893,0.03682287685665095,0.48871943579317445,0.4996995796936432,0.4877983879678203,0.5686990134631854,0.39078012686547947,0.38952539790878815,0.38152756370280716,0.010127447950990773,0.48884592654639375,0.027348737484573154,0.004842127321743004,0.009801918434674137,0.37955987844080713,0.028161559207544314,0.026629082916991675,0.010127447950990773,0.48884592654639375,0.027348737484573154,0.0046897541513399865,0.01566671707793431
dp9,0.06785812882771952,0.0675668631579095,0.06735881501332551,0.07525001435215635,0.07270701403578643,0.032346888830305516,0.050914935333356864,0.037204066981985494,0.0,0.0157686603742995,0.011189973413731659,0.022751830607665984,0.46266892328099596,0.4739315824145936,0.4623659420156303,0.5320531346416446,0.3642443421509819,0.36382719217782655,0.3550233751811291,0.04603429193547115,0.4634066387450651,0.009858522911673016,0.03902962773329961,0.04664595743470285,0.3528549690085171,0.009578334980570634,0.01092783185265974,0.04603429193547115,0.4634066387450651,0.009858522911673016,0.04187061224773486,0.049092265785969584
dp10,0.057880783011284485,0.05324851705916045,0.05563729973677224,0.06022533116554659,0.059237811472065874,0.030300564499695645,0.041860088509222335,0.027169822413849506,0.0157686603742995,0.0,0.008802895262360033,0.012264387550951984,0.46362495211970195,0.47472072801174425,0.4629496990581169,0.5457605128259096,0.3799247037835283,0.379445981148834,0.3707002861949272,0.03716443940112998,0.4639948817659513,0.010220259096521495,0.03055397625514542,0.036948860401914654,0.3685443951222182,0.013257125065415917,0.012603285325660345,0.03716443940112998,0.4639948817659513,0.010220259096521495,0.031384349857854245,0.04182545476142882
